,Year,Region,Round,Seed,Team,Location,OpponentSeed,Opponent,WinningTeam
274,2013,midwest,2,1,Louisville,"Lexington, KY",8,Colorado State,Louisville
275,2013,midwest,2,12,Oregon,"San Jose, CA",4,Saint Louis,Oregon
276,2013,midwest,2,6,Memphis,"Auburn Hills, MI",3,Michigan State,Michigan State
277,2013,midwest,2,7,Creighton,"Philadelphia, PA",2,Duke,Duke
278,2013,midwest,3,1,Louisville,"Indianapolis, IN",12,Oregon,Louisville
279,2013,midwest,3,3,Michigan State,"Indianapolis, IN",2,Duke,Duke
280,2013,midwest,4,1,Louisville,"Indianapolis, IN",2,Duke,Louisville
281,2013,south,1,1,Kansas,"Kansas City, MO",16,Western Kentucky,Kansas
282,2013,south,1,8,UNC,"Kansas City, MO",9,Villanova,UNC
283,2013,south,1,5,VCU,"Auburn Hills, MI",12,Akron,VCU
284,2013,south,1,4,Michigan,"Auburn Hills, MI",13,South Dakota State,Michigan
285,2013,south,1,6,UCLA,"Austin, TX",11,Minnesota,Minnesota
286,2013,south,1,3,Florida,"Austin, TX",14,Northwestern State,Florida
287,2013,south,1,7,San Diego State,"Philadelphia, PA",10,Oklahoma,San Diego State
288,2013,south,1,2,Georgetown,"Philadelphia, PA",15,Florida Gulf Coast,Florida Gulf Coast
289,2013,south,2,1,Kansas,"Kansas City, MO",8,UNC,Kansas
290,2013,south,2,5,VCU,"Auburn Hills, MI",4,Michigan,Michigan
291,2013,south,2,11,Minnesota,"Austin, TX",3,Florida,Florida
292,2013,south,2,7,San Diego State,"Philadelphia, PA",15,Florida Gulf Coast,Florida Gulf Coast
293,2013,south,3,1,Kansas,"Arlington, TX",4,Michigan,Michigan
294,2013,south,3,3,Florida,"Arlington, TX",15,Florida Gulf Coast,Florida
295,2013,south,4,4,Michigan,"Arlington, TX",3,Florida,Michigan
296,2013,west,1,1,Gonzaga,"Salt Lake City, UT",16,Southern,Gonzaga
297,2013,west,1,8,Pitt,"Salt Lake City, UT",9,Wichita State,Wichita State
298,2013,west,1,5,Wisconsin,"Kansas City, MO",12,Ole Miss,Ole Miss
299,2013,west,1,4,Kansas State,"Kansas City, MO",13,La Salle,La Salle
300,2013,west,1,6,Arizona,"Salt Lake City, UT",11,Belmont,Arizona
301,2013,west,1,3,New Mexico,"Salt Lake City, UT",14,Harvard,Harvard
302,2013,west,1,7,Notre Dame,"Dayton, OH",10,Iowa State,Iowa State
303,2013,west,1,2,Ohio State,"Dayton, OH",15,Iona,Ohio State
304,2013,west,2,1,Gonzaga,"Salt Lake City, UT",9,Wichita State,Wichita State
305,2013,west,2,12,Ole Miss,"Kansas City, MO",13,La Salle,La Salle
306,2013,west,2,6,Arizona,"Salt Lake City, UT",14,Harvard,Arizona
307,2013,west,2,10,Iowa State,"Dayton, OH",2,Ohio State,Ohio State
308,2013,west,3,9,Wichita State,"Los Angeles, CA",13,La Salle,Wichita State
309,2013,west,3,6,Arizona,"Los Angeles, CA",2,Ohio State,Ohio State
310,2013,west,4,9,Wichita State,"Los Angeles, CA",2,Ohio State,Wichita State
311,2013,final four,5,1,Louisville,"Atlanta, GA",9,Wichita State,Louisville
312,2013,final four,5,4,Syracuse,"Atlanta, GA",4,Michigan,Michigan
313,2013,final four,6,1,Louisville,"Atlanta, GA",4,Michigan,Louisville
314,2012,east,1,1,Syracuse,"Pittsburgh, PA",16,North Carolina-Asheville,Syracuse
315,2012,east,1,8,Kansas State,"Pittsburgh, PA",9,Southern Miss,Kansas State
316,2012,east,1,5,Vanderbilt,"Albuquerque, NM",12,Harvard,Vanderbilt
317,2012,east,1,4,Wisconsin,"Albuquerque, NM",13,Montana,Wisconsin
318,2012,east,1,6,Cincinnati,"Nashville, TN",11,Texas,Cincinnati
319,2012,east,1,3,Florida State,"Nashville, TN",14,St. Bonaventure,Florida State
320,2012,east,1,7,Gonzaga,"Pittsburgh, PA",10,West Virginia,Gonzaga
321,2012,east,1,2,Ohio State,"Pittsburgh, PA",15,Loyola (MD),Ohio State
322,2012,east,2,1,Syracuse,"Pittsburgh, PA",8,Kansas State,Syracuse
323,2012,east,2,5,Vanderbilt,"Albuquerque, NM",4,Wisconsin,Wisconsin
324,2012,east,2,6,Cincinnati,"Nashville, TN",3,Florida State,Cincinnati
325,2012,east,2,7,Gonzaga,"Pittsburgh, PA",2,Ohio State,Ohio State
326,2012,east,3,1,Syracuse,"Boston, MA",4,Wisconsin,Syracuse
327,2012,east,3,6,Cincinnati,"Boston, MA",2,Ohio State,Ohio State
328,2012,east,4,1,Syracuse,"Boston, MA",2,Ohio State,Ohio State
329,2012,midwest,1,1,UNC,"Greensboro, NC",16,Vermont,UNC
330,2012,midwest,1,8,Creighton,"Greensboro, NC",9,Alabama,Creighton
331,2012,midwest,1,5,Temple,"Nashville, TN",12,South Florida,South Florida
332,2012,midwest,1,4,Michigan,"Nashville, TN",13,Ohio,Ohio
333,2012,midwest,1,6,San Diego State,"Columbus, OH",11,North Carolina State,North Carolina State
334,2012,midwest,1,3,Georgetown,"Columbus, OH",14,Belmont,Georgetown
335,2012,midwest,1,7,Saint Mary's (CA),"Omaha, NE",10,Purdue,Purdue
336,2012,midwest,1,2,Kansas,"Omaha, NE",15,Detroit,Kansas
337,2012,midwest,2,1,UNC,"Greensboro, NC",8,Creighton,UNC
338,2012,midwest,2,12,South Florida,"Nashville, TN",13,Ohio,Ohio
339,2012,midwest,2,11,North Carolina State,"Columbus, OH",3,Georgetown,North Carolina State
